ret_yr,system,model_type,1.2,1.3,2.2,2.3,Totals
2006,Igushik,boost_tree,150294924,712551498,6423557,18979601,888249580
2006,Kvichak,rand_forest,3743273540,932775336,2804928953,409537336,7890515164
2006,Kvichak,boost_tree,5475601807,1101089554,33482003,0,6610173364
2006,Naknek,rand_forest,1077378587,2421207071,684671684,752359809,4935617151
2006,Naknek,boost_tree,1720065155,2575865784,978082199,432578201,5706591339
2006,Nushagak,rand_forest,205595658,1615765049,20914424,45748330,1888023461
2006,Nushagak,boost_tree,249545498,2187561340,12154915,69161291,2518423045
2006,Ugashik,rand_forest,1454139493,989425493,1289928135,648403330,4381896451
2006,Ugashik,boost_tree,1601984100,1391887054,1066081772,277432232,4337385159
2006,Wood,rand_forest,2510740401,2411830800,177978012,132260705,5232809918
2006,Wood,boost_tree,2452005157,2683396606,99036589,217974739,5452413092
2005,Egegik,rand_forest,280422035,2463911196,3058377259,6064521364,11867231853
2005,Egegik,boost_tree,19798458,2358152161,2269476776,6099168701,10746596096
2005,Igushik,rand_forest,147122348,543516225,29071073,38650643,758360289
2005,Igushik,boost_tree,80319786,423748856,6997885,35171273,546237800
2005,Kvichak,rand_forest,1002858523,1074700087,3104692804,615797860,5798049275
2005,Kvichak,boost_tree,0,1012149200,0,110561514,1122710714
2005,Naknek,rand_forest,519795639,2295864442,483810577,1044789177,4344259835
2005,Naknek,boost_tree,837767487,2307223053,468480225,1031564713,4645035477
2005,Nushagak,rand_forest,113033173,1176414937,33123442,31168918,1353740470
2005,Nushagak,boost_tree,87107630,1518000488,0,52176394,1657284513
2005,Ugashik,rand_forest,1116110455,1723129980,947390994,703964161,4490595590
2005,Ugashik,boost_tree,1628218231,1576032257,495837364,551721649,4251809502
2005,Wood,rand_forest,1893172912,2833148614,186365654,174002601,5086689781
2005,Wood,boost_tree,2457377319,2427191010,152534037,156204004,5193306370
2004,Egegik,rand_forest,326977041,418562833,3984392771,1729296258,6459228903
2004,Egegik,boost_tree,125714655,651585541,4717640076,2323955078,7818895350
2004,Igushik,rand_forest,126856021,428912110,42535915,18292288,616596334
2004,Igushik,boost_tree,127262297,374151382,56142497,0,557556176
2004,Kvichak,rand_forest,1769144439,1131498134,7714166556,262524862,10877333991
2004,Kvichak,boost_tree,1903880310,1085014572,6515130005,0,9504024887
2004,Naknek,rand_forest,583613092,1590912787,1066541253,536186194,3777253326
2004,Naknek,boost_tree,538126259,1449218750,1132860870,632847214,3753053093
2004,Nushagak,rand_forest,124941026,803756712,26048347,21826182,976572267
2004,Nushagak,boost_tree,80866776,669659882,20934803,28322997,799784458
2004,Ugashik,rand_forest,497059618,972743081,1613661388,610984868,3694448955
2004,Ugashik,boost_tree,1122580566,901593399,1295314331,549903641,3869391937
2004,Wood,rand_forest,2228208521,1883123308,169787491,76329961,4357449281
2004,Wood,boost_tree,2349619598,2289361572,423241043,0,5062222214
2003,Egegik,rand_forest,460711216,225521022,3068598698,2308517015,6063347951
2003,Egegik,boost_tree,715003128,233796768,2793890686,2761206360,6503896942
2003,Igushik,rand_forest,94023524,477090149,32105443,27247858,630466974
2003,Igushik,boost_tree,110862331,595948639,0,0,706810970
2003,Kvichak,rand_forest,1476044918,850007064,3067049513,711389287,6104490782
2003,Kvichak,boost_tree,0,925658417,0,606530190,1532188606
2003,Naknek,rand_forest,498178020,1492284576,320790221,801638345,3112891163
2003,Naknek,boost_tree,753130722,768009949,243894024,999225845,2764260540
2003,Nushagak,rand_forest,127331292,771401581,38236512,20379843,957349229
2003,Nushagak,boost_tree,81571817,317643433,15650699,5979857,420845807
2003,Ugashik,rand_forest,1222737039,590283560,896415506,584690309,3294126415
2003,Ugashik,boost_tree,1001609802,0,673215866,567922707,2242748375
2003,Wood,rand_forest,1650325018,2317358999,206428908,97924883,4272037807
2003,Wood,boost_tree,1048963547,2258963470,275268326,37014349,3620209692
2002,Egegik,rand_forest,441486318,280819887,3252459868,1912949341,5887715413
2002,Egegik,boost_tree,430616837,555665016,3738839111,2049264832,6774385796
2002,Igushik,rand_forest,116249695,412882168,15985741,105485814,650603417
2002,Igushik,boost_tree,262090950,475405502,0,36982756,774479208
2002,Kvichak,rand_forest,1263471476,888820112,2664838757,916004360,5733134706
2002,Kvichak,boost_tree,844593048,823559570,2074710236,853224716,4596087570
2002,Naknek,rand_forest,692958628,1553303137,436587052,605077775,3287926592
2002,Naknek,boost_tree,412740097,1271160965,342021599,288989735,2314912395
2002,Nushagak,rand_forest,125231917,977240265,27024229,24935236,1154431647
2002,Nushagak,boost_tree,201045685,891447144,11437089,17012056,1120941974
